time,seconds_elapsed,z,y,x
1782836906603422000,0.082421875,-0.024686479941010475,-0.10736028850078583,-0.04907793179154396
1782836906613351000,0.092350830078125,-0.04838142544031143,-0.2124728560447693,-0.030216624960303307
1782836906623279900,0.10227978515625,-0.05089730769395828,-0.2620842754840851,-0.07631117850542068
1782836906633208800,0.112208740234375,-0.031647711992263794,-0.23796722292900085,-0.1698123663663864
1782836906643138000,0.122137939453125,-0.001595144160091877,-0.09090688824653625,-0.2638787031173706
1782836906653066800,0.132066650390625,0.03030393272638321,0.07572975754737854,-0.3167320787906647
1782836906662995700,0.14199560546875,0.04789487645030022,0.17420485615730286,-0.3236856162548065
1782836906672924700,0.151924560546875,0.0457928441464901,0.17737162113189697,-0.25762057304382324
1782836906682854000,0.16185400390625,0.04871836304664612,0.12844599783420563,-0.14256787300109863
1782836906692782800,0.171782958984375,0.05391498655080795,0.0778488740324974,-0.04081568121910095
1782836906702711800,0.1817119140625,0.06462465226650238,0.02868913859128952,0.01683485507965088
1782836906712640800,0.191640869140625,0.09412528574466705,-0.029602132737636566,0.0481879860162735
1782836906722570000,0.201570068359375,0.12664355337619781,-0.08248475939035416,0.08114924281835556
1782836906732499000,0.2114990234375,0.15973731875419617,-0.14833194017410278,0.11970275640487671
1782836906742428000,0.221427978515625,0.20071116089820862,-0.19543814659118652,0.1508810967206955
1782836906752356900,0.23135693359375,0.24070864915847778,-0.16238272190093994,0.16768351197242737
1782836906762285800,0.241285888671875,0.27385413646698,-0.09273793548345566,0.18003568053245544
1782836906772214800,0.25121484375,0.3045678436756134,-0.07123130559921265,0.17747877538204193
1782836906782144000,0.26114404296875,0.32950279116630554,-0.11466920375823975,0.17027932405471802
1782836906792073000,0.271072998046875,0.34658268094062805,-0.17498715221881866,0.16606727242469788
1782836906802002000,0.281001953125,0.36193183064460754,-0.22041988372802734,0.1716734915971756
1782836906811931000,0.290930908203125,0.3573589026927948,-0.22915531694889069,0.1643596589565277
1782836906821860000,0.300860107421875,0.3451032340526581,-0.20453934371471405,0.12866473197937012
1782836906831789000,0.3107890625,0.3403015732765198,-0.13353335857391357,0.06921951472759247
1782836906841718000,0.320718017578125,0.3328999876976013,-0.03145537152886391,-0.016464143991470337
1782836906851647000,0.33064697265625,0.305736243724823,0.011542164720594883,-0.1225796565413475
1782836906861576200,0.340576171875,0.26978975534439087,0.008537705056369305,-0.22118358314037323
1782836906871505000,0.3505048828125,0.25137799978256226,0.03031091019511223,-0.2528648376464844
1782836906881433900,0.360433837890625,0.2481551617383957,0.09461011737585068,-0.22391392290592194
1782836906891362800,0.37036279296875,0.23541966080665588,0.14680275321006775,-0.17246457934379578
