time,seconds_elapsed,z,y,x
1782829276169733600,0.109733642578125,0.20033903247117996,0.11731252034679054,0.009252470057085157
1782829276179662600,0.11966259765625,0.26894845831692216,0.11824665939174592,0.10388062744690105
1782829276189591300,0.12959130859375,0.20089725087583063,0.12144034086652099,0.23942208397807552
1782829276199519500,0.13951953125,0.17810966500639913,0.06063727792277932,0.2743294389692135
1782829276209448400,0.149448486328125,0.18282675665616988,0.07900288263149559,0.11669256181754172
1782829276219377400,0.15937744140625,0.0015343699604272842,0.11753354268632829,-0.021795889684651047
1782829276229306400,0.169306396484375,-0.11568155814409255,0.0730473352279514,0.03321258857091888
1782829276239234600,0.179234619140625,-0.0692465547055006,0.013245558281242846,0.03794275889797136
1782829276249163300,0.189163330078125,-0.17151801165640354,0.012763985309377312,0.0391838450002484
1782829276259092500,0.199092529296875,-0.2988397387117147,-0.030581162355095146,0.09433924831268377
1782829276269021400,0.209021484375,-0.27898762177228925,-0.10462474207878113,0.12357057609455659
1782829276278950400,0.218950439453125,-0.19472411519885063,-0.06960194401443004,0.06448357808738947
1782829276288878300,0.22887841796875,-0.17988310441970823,-0.08916421116180717,0.056149519783165305
1782829276298807300,0.238807373046875,-0.14451134678721428,-0.1498595028821379,0.10425947069665416
1782829276308736500,0.248736572265625,-0.09205342979729175,-0.14547295836098492,0.09359201927511021
1782829276318665500,0.25866552734375,-0.0772848997324705,-0.1150574348963797,0.08729648106116801
1782829276328594400,0.268594482421875,-0.04044248502552509,-0.14208689611926675,0.06914603520678356
1782829276338522400,0.2785224609375,-0.05772796634733677,-0.1361721921827644,0.06807411339264363
1782829276348451300,0.288451416015625,-0.10602876365780829,-0.0968090998917818,0.09773653520131483
1782829276358380500,0.298380615234375,-0.13374211549162865,-0.07318966630809008,0.08364543860717676
1782829276368309500,0.3083095703125,-0.07969546800553798,-0.026774536613747475,-0.021558939123619347
1782829276378237400,0.318237548828125,-0.09473696979284287,-0.005698503902554512,-0.07795640578586607
1782829276388166400,0.32816650390625,-0.09076923520565032,-0.059375295162945985,-0.03618534817085601
1782829276398095400,0.338095458984375,-0.08852350210547447,-0.10621602985821664,0.07319012296581641
1782829276408024600,0.348024658203125,-0.0520014053940773,-0.1523567995905876,0.1376118513307534
1782829276417952500,0.357952392578125,-0.05665127702653408,-0.14611922037526964,0.1363397216362413
1782829276427881500,0.367881591796875,-0.09689502460956573,-0.08573197169080377,0.13668533846982753
1782829276437810400,0.377810546875,-0.08669628667831421,-0.04774389408007264,0.09646871635573916
1782829276447739400,0.387739501953125,-0.10855682083070277,-0.021951427306234835,0.03246101215179078
1782829276457668600,0.397668701171875,-0.12883680779337883,-0.049132864220440386,0.0026429111576406284
1782829276467596500,0.407596435546875,-0.10529869581758976,-0.0961664180740714,-0.015897862888313827
1782829276477525500,0.417525390625,-0.04802724106609821,-0.08018084036968648,0.020670666780695318
1782829276487454500,0.427454345703125,-0.01963409027457237,-0.06693988519832492,0.07797167642023414
1782829276497383400,0.437383544921875,0.028194997870922087,-0.07692110792137682,0.07755169744249432
1782829276507311600,0.4473115234375,-0.041729017704725264,-0.060231838927045464,0.050557376031647436
1782829276517240600,0.457240478515625,-0.08784954836666584,-0.052587680849432945,0.02592366453860886
1782829276527169500,0.46716943359375,-0.012827917391061781,-0.06531096882224083,0.049077279841993005
1782829276537098500,0.477098388671875,-0.017959435060620307,-0.04516322993710637,0.06166250191782601
1782829276547027700,0.48702783203125,-0.04611234735548496,-0.0724100602377206,0.044161523814965034
1782829276556955600,0.49695556640625,-0.070666942897439,-0.16231054978482423,-0.0007481560527579858
1782829276566884600,0.506884521484375,-0.1253045420140028,-0.1526586320813745,-0.02204236155927647
1782829276576813600,0.5168134765625,-0.06998831298351288,-0.09735044022686778,-0.053690431626676575
1782829276586742500,0.526742431640625,0.01686345651745796,-0.019714388969168065,-0.05699436397631652
1782829276596670500,0.53667041015625,0.0015875614523887633,-0.01516074425280094,0.03715135735853109
1782829276606599700,0.546599609375,-0.0007195464462041854,-0.06836663006581366,0.10855132267167791
1782829276616528400,0.5565283203125,-0.06053776307106018,-0.06142470197342336,0.11734841364407911
1782829276626457300,0.566457275390625,-0.19302783267498017,-0.0802120392255485,0.022269644676242022
1782829276636386300,0.57638623046875,-0.15489654720127582,-0.08749050579592585,-0.10518380073364823
1782829276646314500,0.586314453125,-0.18372925845384597,-0.06372011943422258,-0.11226488156840204
1782829276656243500,0.596243408203125,-0.19047054940760136,-0.12075798462554811,-0.052189187617716376
1782829276666172400,0.60617236328125,-0.13850421532690524,-0.18486666498593984,-0.012350118695304262
1782829276676101400,0.616101318359375,-0.1325064362168312,-0.15451039742790162,-0.030551404254359656
1782829276686029300,0.626029296875,-0.038678982484340665,-0.1491880333613604,-0.07040678042417857
1782829276695958300,0.635958251953125,0.014959084200859068,-0.10814392918087541,-0.10549424578915349
1782829276705887500,0.645887451171875,0.002205401089787483,-0.08275047166198492,-0.06301029066443443
1782829276715816400,0.65581640625,-0.011669979527592658,-0.08490458095595241,0.0032848531898343933
1782829276725745400,0.665745361328125,0.013772504764795303,-0.0930799233008176,0.06273571607333142
1782829276735673300,0.67567333984375,0.054546413701772684,-0.05669131677597761,0.08343244431046769
1782829276745602300,0.685602294921875,0.07060790618658065,-0.01847279141023755,0.09819690098837018
1782829276755531500,0.695531494140625,-0.018111410751938818,-0.038245924829319114,0.07491560418470762
1782829276765460500,0.70546044921875,-0.06567454143762588,-0.081591218624264,0.07635576565619558
1782829276775388400,0.715388427734375,-0.006923077261447906,-0.08142002677582204,0.1652920863462612
1782829276785317400,0.7253173828125,0.020749358040094375,-0.08859401005841791,-0.014156291334435809
1782829276795246300,0.735246337890625,-0.04465513428449631,-0.06150507373325526,0.005729225551092531
1782829276805175600,0.745175537109375,0.00675298139154911,-0.030381401999294757,0.06063199439288582
1782829276815104500,0.7551044921875,0.0273883576631546,0.0026904081277549265,0.03104505353979766
1782829276825032400,0.765032470703125,0.011312836652994155,0.003695274321362376,0.031120096103963442
1782829276834961400,0.77496142578125,-0.03868541222512722,-0.021119579591974615,0.11022069892231375
1782829276844890400,0.784890380859375,-0.08138356722295284,-0.04351838533952832,0.1497407718732953
1782829276854819600,0.794819580078125,-0.14144377591013907,-0.03259498639553785,0.1305665359291248
1782829276864747500,0.80474755859375,-0.1434907715678215,-0.014917071690037845,0.19393599702846256
1782829276874676500,0.814676513671875,-0.03950841904580593,-0.017390256870537996,0.18614083137391135
1782829276884605400,0.82460546875,-0.09000058892071247,-0.06274718274883925,0.04721607994684018
1782829276894534400,0.834534423828125,-0.1869564038068056,-0.15260551365464925,-0.017364556173700838
1782829276904463400,0.84446337890625,-0.1365320384711027,-0.18443879496268928,-0.01983643531310372
1782829276914391300,0.854391357421875,-0.08003975139856338,-0.15002492257691918,-0.026085412705270573
1782829276924320500,0.864320556640625,-0.04732756836414337,-0.14605119664035737,-0.022053901300020516
1782829276934249500,0.87424951171875,0.006755319479107857,-0.13942754071690142,0.02100379859204404
1782829276944178400,0.884178466796875,-0.022404139509797093,-0.11790551780387759,0.06380851467030588
1782829276954106400,0.8941064453125,-0.030790275061130523,-0.12333631068095564,0.09988637017896398
1782829276964035300,0.904035400390625,-0.15221125364005564,-0.11386749445945024,0.12362200488769448
1782829276973964500,0.913964599609375,-0.3013707184940576,-0.08204246952310204,0.08566692536426708
1782829276983893500,0.9238935546875,-0.1878366937726736,-0.053785585397109384,0.006173765864642336
1782829276993822500,0.933822509765625,-0.25554303329885003,-0.020399667819589375,-0.07164810855505056
1782829277003750400,0.94375048828125,-0.2518605453938246,-0.03713810971789062,-0.03158874109559692
1782829277013679600,0.9536796875,-0.1541904447585344,-0.061883770852535956,0.03879517447622493
1782829277023608300,0.9636083984375,-0.06547638851702213,-0.10284823392555117,0.0023737616603262722
1782829277033537300,0.973537353515625,0.02947276272177696,-0.09261099061481654,-0.012908818873856216
1782829277043465500,0.983465576171875,0.018004443246126173,-0.07305405722968279,0.04933984890147112
1782829277053394400,0.99339453125,-0.06204816763401031,-0.08019238467700779,0.13183632753607816
1782829277063323400,1.003323486328125,-0.07479834361374378,-0.07632730674669146,0.14635419817492365
1782829277073252400,1.01325244140625,-0.067194298350811,-0.0050468350607901806,0.12787850242154672
1782829277083181300,1.023181396484375,-0.09373568379580974,0.015859028715267776,0.06486722537642345
1782829277093109200,1.033109130859375,-0.11911971589922904,0.010155410246178507,-0.02958279896751046
1782829277103038200,1.0430380859375,-0.1312432844132185,-0.007237623103335499,-0.06298520188895054
1782829277112967400,1.052967529296875,-0.1273959613353014,-0.0223832428522408,-0.034119309885986146
1782829277122896400,1.062896484375,-0.031468904975056645,-0.06697196083702146,0.01692458015412558
1782829277132824300,1.07282421875,0.07193710896372794,-0.021305749813839793,0.04437782431361265
1782829277142753300,1.082753173828125,-0.008887655332684517,-0.006681523590534925,0.10349190212395042
1782829277152682200,1.09268212890625,-0.06793430306315422,-0.04274944679364562,0.07986792022930457
1782829277162611500,1.102611572265625,-0.09207797971665858,0.003072685443609953,0.012352445366419851
1782829277172540400,1.11254052734375,-0.22916940563619134,0.0504595097143203,0.04086564234104007
1782829277182468400,1.12246826171875,-0.2387830371558666,-0.0009861614931374787,0.05538569580381736
1782829277192397300,1.132397216796875,-0.2955412816882133,-0.011756561832502484,0.01721172196585685
1782829277202326300,1.142326171875,-0.28767653966248036,-0.03479980296343565,-0.06833803415899165
1782829277212255500,1.15225537109375,-0.19466215587854385,-0.04954729024022817,-0.1261714884411078
1782829277222183400,1.162183349609375,-0.08296002275943756,-0.02801072734519839,-0.0976018120388966
1782829277232112400,1.1721123046875,0.06044657765626907,-0.06674326664768158,-0.03170570940561592
1782829277242041300,1.182041259765625,0.06998772846162318,-0.08208915820904075,0.04535327261649072
1782829277251970300,1.19197021484375,0.07093523844480513,-0.0792453130852431,0.11911692115394398
1782829277261898200,1.201898193359375,0.07764438069462776,-0.10746361876651644,0.05851430355259217
1782829277271827500,1.211827392578125,0.00697217710018158,-0.07962861331440507,-0.0707012561589945
1782829277281756400,1.22175634765625,-0.08875964894890785,-0.06058130995184183,-0.15121791348746044
1782829277291685400,1.231685302734375,-0.050886137628555296,-0.03830941851958632,-0.08316268745837732
1782829277301614300,1.2416142578125,-0.0015109890848398208,-0.001242912733182311,0.017261698587425052
1782829277311542300,1.251542236328125,-0.05746551601886749,-0.04202113251909614,0.03890248904190957
1782829277321471500,1.261471435546875,-0.15552198562324046,-0.09192351980730891,0.0314498623478692
1782829277331400400,1.271400390625,-0.08971417319476604,-0.07487455065511167,0.06912996085481718
1782829277341329400,1.281329345703125,-0.011073767200112342,-0.009739011465013027,0.0698220347722061
1782829277351257300,1.29125732421875,-0.05255202501416206,0.04569010335542261,0.06062079257885925
1782829277361186600,1.3011865234375,-0.09521803130805492,0.031466859148442744,0.06503701985222288
1782829277371115500,1.311115478515625,-0.08658639656305313,0.028598756366223096,0.04536485345643013
1782829277381044500,1.32104443359375,-0.04795885200500488,0.08912789773941039,0.07035362089825793
1782829277390973400,1.330973388671875,-0.054613633719086646,0.08483896837383509,0.08771569285392761
1782829277400901400,1.3409013671875,-0.08631342484056949,0.024492709286883473,0.07296147444224917
1782829277410830600,1.35083056640625,-0.1390326231151819,-0.014400208209082483,0.08103828831608406
1782829277420759600,1.360759521484375,-0.15707739837169646,-0.00666333034671843,0.10958258368186652
1782829277430688300,1.370688232421875,-0.1413520059734583,0.029509660666063427,0.10776721395612694
1782829277440616400,1.380616455078125,-0.10168284340798854,0.03534501575604081,0.09464599444060585
1782829277450545400,1.39054541015625,-0.09056640610992908,0.010300006348639725,0.10127049061427823
1782829277460474400,1.400474365234375,-0.05068506209850311,-0.015014906041324138,0.08746519782473333
1782829277470403300,1.4104033203125,0.009466332003474236,-0.02938654574304819,0.08562313188831322
1782829277480332300,1.420332275390625,0.03658931672871112,-0.0210560128364712,0.08943956663762219
1782829277490260500,1.430260498046875,0.10363280843198298,-0.004347454619780183,0.06333268188606016
1782829277500189200,1.440189208984375,0.05732581528723239,-0.012543109100311993,0.060672349236160515
1782829277510118400,1.450118408203125,0.06934124725162982,-0.047266851152852174,0.08661337590152397
1782829277520047400,1.46004736328125,0.04214461276829243,-0.05099449337385595,0.09517437482941896
1782829277529975300,1.469975341796875,-0.026117607074975967,-0.036936668861657376,0.08339090672368184
1782829277539904300,1.479904296875,-0.10277999099493026,-0.023437720341235396,0.06181575625077821
1782829277549833200,1.489833251953125,-0.10673545062243937,-0.03015899142026901,0.058153224288392806
1782829277559762400,1.499762451171875,-0.08380641045570374,-0.017264876925200224,0.027326590139092877
1782829277569691400,1.50969140625,-0.09845277544558048,-0.03959178648032248,0.017914207679405807
1782829277579619300,1.519619384765625,-0.09682897363603114,-0.10966054428890347,0.013335154527146368
1782829277589548300,1.52954833984375,-0.13962708187699316,-0.13479272052310406,0.05235097688357346
1782829277599477200,1.539477294921875,-0.10982698689699172,-0.14379355390667914,0.07017936944304964
1782829277609406500,1.549406494140625,-0.06136953772008419,-0.10581928562559187,0.05578063167184591
1782829277619334400,1.55933447265625,-0.12972937271893023,-0.03317285934872925,0.038973508451506496
1782829277629263400,1.569263427734375,-0.07765899374186992,-0.0883184810526669,0.012406824168469756
1782829277639192300,1.5791923828125,-0.03538929328918457,-0.0780875213522464,0.007235805605584755
1782829277649121300,1.589121337890625,-0.09062310473322868,-0.0633205987226218,0.04094721054411493
1782829277659050500,1.599050537109375,-0.09426526062786579,-0.1068104886200279,0.10129069315209052
1782829277668978400,1.608978515625,-0.06434592318236827,-0.10431764889098703,0.09906182898832484
1782829277678907400,1.618907470703125,-0.12960019338130951,-0.05504720283076167,0.006377663539443165
1782829277688836400,1.62883642578125,-0.13113280977606773,-0.04806187398806214,-0.0606427121497225
1782829277698765300,1.638765380859375,-0.09287000687718391,-0.02330021156668663,-0.02791855554971844
1782829277708693500,1.648693603515625,-0.09223638514876364,-0.03403992450684309,0.047506989184813574
1782829277718622500,1.65862255859375,-0.10219079293012619,-0.06872662248462438,0.07268726974390446
1782829277728551400,1.668551513671875,-0.0668196198195219,-0.10283924690149723,0.05566464060936123
1782829277738480400,1.67848046875,-0.09742109431028366,-0.0887026580646634,0.07495542473844252
1782829277748409300,1.688409423828125,-0.13524842840135096,-0.09002930355854331,0.02168811846124008
1782829277758337500,1.698337646484375,-0.17510872962474822,-0.08364223286993801,-0.0022910792123991995
1782829277768266500,1.7082666015625,-0.16335399442315102,-0.08039755186028778,-0.0029838746489956975
1782829277778195500,1.718195556640625,-0.06744505824148654,-0.0659123687814921,0.01161190179795958
1782829277788124400,1.72812451171875,-0.046446693876385683,-0.07875190354511141,0.05365699971453287
1782829277798052400,1.73805224609375,-0.030800211933255193,-0.12828085441105067,0.07668076896001584
1782829277807981600,1.747981689453125,0.05906009173393249,-0.11434833677895366,0.06710630040694959
1782829277817910500,1.75791064453125,0.03425298273563385,-0.05620813636891544,0.03317885069809854
1782829277827839500,1.767839599609375,-0.017898644784092903,-0.08603519242107868,0.04028710266756825
1782829277837768200,1.777768310546875,-0.022111878564953804,-0.09710523329414426,0.03458180369804613
1782829277847696400,1.7876962890625,-0.048615854609012604,-0.03891374108828604,-0.006958267305837944
1782829277857625600,1.79762548828125,-0.06675766049921512,-0.05082629720009863,0.03307501586428843
1782829277867554300,1.80755419921875,-0.15295301191806793,-0.09014292000085115,0.06572055427012964
1782829277877483500,1.8174833984375,-0.19592121602892876,-0.040961394333094356,0.05103427739497274
1782829277887411700,1.82741162109375,-0.18738895000517367,0.012797814513742923,0.039687027015723284
1782829277897340700,1.837340576171875,-0.1733154164671898,0.007654168014973401,0.005168726141098886
1782829277907269600,1.84726953125,-0.10529869581758976,0.010692366667091845,-0.03297656959164887
1782829277917198600,1.857198486328125,-0.06898118176758289,0.0290794525552541,0.033511050927685575
1782829277927127800,1.8671279296875,-0.13862228874862192,-0.030619448538869616,0.1341061082321219
1782829277937055700,1.8770556640625,-0.09286299261450767,-0.06103146487213671,0.11917520894613116
1782829277946984700,1.886984619140625,0.02748772638440132,0.04638217727281153,0.04819611309329048
1782829277956913700,1.89691357421875,-0.008344049975275993,0.08167334394976496,0.010303869673004373
1782829277966842600,1.906842529296875,-0.0752203684180975,0.007600026674941182,0.03653661842709407
1782829277976770600,1.9167705078125,-0.050150224569439884,0.012977481929585337,0.05648439602702856
1782829277986699800,1.92669970703125,-0.01701250959932804,0.04501081585437059,0.08535667210500687
1782829277996628700,1.936628662109375,-0.1498690744280815,0.015167100928351282,0.1085621637261007
1782829278006557700,1.9465576171875,-0.10633680669367312,-0.01844707244709134,0.050190949305472896
1782829278016486700,1.956486572265625,-0.02868716530203819,0.041637759224697944,-0.03110483916932717
1782829278026414600,1.96641455078125,-0.1137713406085968,0.037439869143441315,-0.048398595129139715
1782829278036343800,1.97634375,-0.10724340014457702,-0.044235959024354815,-0.00386299557108432
1782829278046272800,1.986272705078125,-0.044452889710664745,-0.03866108150146901,-0.009337298796325921
1782829278056201700,1.99620166015625,-0.04681552718877792,-0.02987462152093649,0.01863816543924622
1782829278066129700,2.006129638671875,-0.06511807659864426,-0.07065064934976399,0.08393680450287647
1782829278076058600,2.01605859375,-0.09912614466249942,-0.06186974232718348,0.05297871686047874
1782829278085987800,2.02598779296875,-0.06548398730158805,-0.062324865683540696,0.025762126434501258
1782829278095916800,2.035916748046875,-0.1271475395321846,-0.08291128824688494,0.0022188724927138534
1782829278105845800,2.045845703125,-0.1713321336954832,-0.11480879389755427,0.03362774524306878
1782829278115773700,2.055773681640625,-0.1700812568515539,-0.12349756565727293,0.05701645707711577
1782829278125702700,2.06570263671875,-0.1436164437741041,-0.10262333912849425,0.027541201004153117
1782829278135632000,2.0756318359375,-0.021702128720283508,-0.06808510971069336,-0.01641100004222244
1782829278145560800,2.085560791015625,0.02325871051251888,-0.0201055071786046,-0.017132592315040527
1782829278155489800,2.09548974609375,0.045941082441806794,-0.024279285731911657,0.008848364501912146
1782829278165417700,2.105417724609375,0.03780103060603142,-0.029627514892071483,0.04432940032831393
1782829278175346700,2.1153466796875,-0.02712649185657501,-0.03058576546497643,0.06458098318041301
1782829278185276000,2.12527587890625,-0.0505243185788393,-0.028131723376363514,0.07727438747161068
1782829278195204600,2.13520458984375,-0.05230126512348652,0.019123948795348403,0.049736976726585995
1782829278205132800,2.1451328125,-0.10692892736792564,0.037611207122355696,0.05341238643685355
1782829278215061800,2.155061767578125,-0.03732289170026779,0.01613901470042765,0.062124329009605565
1782829278224990700,2.16499072265625,-0.07514145796298981,0.06405271238945424,0.055245008691493416
1782829278234919700,2.174919677734375,-0.12820318606495856,0.068699807542935,0.07098087681797333
1782829278244848600,2.1848486328125,-0.0952145241767168,0.058037836014106864,0.043068193886615334
1782829278254776800,2.19477685546875,-0.12167583012282848,0.0659906216494739,0.007581943028979003
1782829278264705500,2.20470556640625,-0.11149930402338504,0.0423415966451168,0.04057502536401152
1782829278274634800,2.214634765625,-0.09696692080199718,0.021486294012516737,0.08353744818805717
1782829278284563700,2.224563720703125,-0.09871639481782912,-0.014641177358105778,0.10606346964500844
1782829278294491600,2.23449169921875,-0.05777472809851169,-0.03537380345910787,0.10346360761122778
1782829278304420600,2.244420654296875,-0.14609773919582367,-0.02731120077371597,0.0741971902496647
1782829278314349600,2.254349609375,-0.20013795694112776,-0.053669046345353126,0.07585782607141882
1782829278324278800,2.26427880859375,-0.11241758791208266,-0.05543605601787567,0.009188556241709738
