time,seconds_elapsed,z,y,x
1782836492842478300,0.083478271484375,-0.05839449167251587,0.04659800976514816,-0.007730887737125158
1782836492852407300,0.0934072265625,-0.02054154872894287,0.04836858808994293,0.004183268174529076
1782836492862336300,0.103336181640625,0.01955340802669525,0.020833631977438927,0.039196379482746124
1782836492872265200,0.11326513671875,0.041709963232278824,0.007405516691505909,0.05757448077201843
1782836492882194200,0.123194091796875,0.03876557573676109,-0.008691960945725441,0.057624541223049164
1782836492892123100,0.133123046875,0.021429473534226418,-0.027985796332359314,0.03737425059080124
1782836492902052000,0.143052001953125,0.0032568611204624176,-0.03974897786974907,0.00837029330432415
1782836492911981000,0.15298095703125,0.0051157232373952866,-0.03855980932712555,-0.014536051079630852
1782836492921911300,0.162911376953125,0.015744132921099663,-0.019701700657606125,-0.01831480860710144
1782836492931840300,0.17284033203125,0.019506346434354782,-0.009417658671736717,-0.007642276119440794
1782836492941769200,0.182769287109375,0.023959685117006302,-0.005291889421641827,0.01183235552161932
1782836492951698200,0.1926982421875,0.036833543330430984,-0.010806910693645477,0.04551607370376587
1782836492961627100,0.202627197265625,0.04003492742776871,-0.005858491640537977,0.06416698545217514
1782836492971556000,0.21255615234375,0.030546393245458603,-0.015091055072844028,0.05815637484192848
1782836492981485000,0.222485107421875,0.007324692793190479,-0.024420108646154404,0.023107308894395828
1782836492991414300,0.232414306640625,-0.0057669151574373245,0.0059984344989061356,-0.01152297668159008
1782836493001343200,0.24234326171875,-0.008434336632490158,0.017966413870453835,-0.029727812856435776
1782836493011273200,0.252273193359375,0.0036271559074521065,0.0008875792846083641,-0.027517305687069893
1782836493021202200,0.2622021484375,0.02376917563378811,-0.017798490822315216,-0.012444611638784409
1782836493031131400,0.27213134765625,0.03425537794828415,-0.009061126038432121,-0.004030034877359867
1782836493041060000,0.28206005859375,0.020676983520388603,0.009894722141325474,-0.015500536188483238
1782836493050989000,0.291989013671875,-0.005277534015476704,0.03554300218820572,-0.026700632646679878
1782836493060918000,0.30191796875,-0.023908745497465134,0.036070309579372406,-0.010325919836759567
1782836493070847200,0.31184716796875,-0.02398872748017311,0.03293517231941223,0.027883179485797882
1782836493080776200,0.321776123046875,-0.006550879217684269,0.04007670283317566,0.07542513310909271
1782836493090706200,0.3317060546875,0.010097329504787922,0.0319620780646801,0.10297887772321701
1782836493100635400,0.341635498046875,0.011464064009487629,0.012490376830101013,0.0779251903295517
1782836493110564400,0.351564453125,0.005011281464248896,-0.014715456403791904,0.019076038151979446
1782836493120493000,0.3614931640625,0.006442463956773281,-0.03108004853129387,-0.04786544293165207
1782836493130422000,0.371422119140625,0.000272638164460659,-0.03178834170103073,-0.1041252613067627
1782836493140351200,0.381351318359375,-0.002383066341280937,-0.012533687055110931,-0.13967233896255493
1782836493150280200,0.3912802734375,-0.004162481054663658,0.004148360341787338,-0.14412830770015717
1782836493160209200,0.401209228515625,-0.005824826657772064,0.007431238889694214,-0.12046052515506744
1782836493170138000,0.41113818359375,-0.002879011444747448,0.021302178502082825,-0.08221527934074402
